step,volume,Al_Al_seperation,average_metal_Al_r,sigma_metal_Al_r,minimum_metal_Al_r,OAl_coord_num,OSi_coord_num,OtherO_coord_num,total_coord_num,bronsted_num,boat / distorted Td,Relative energy / kJ mol^-1
137,2410.697,6.194262052,3.113886002,0.243833333,2.870052669,3,1,0,4,0,1,-1.229681543
138,2417.57,6.201134179,3.117059187,0.24091058,2.876148607,3,1,0,4,0,1,-1.525386357
139,2415.209,6.198615802,3.116294234,0.243529639,2.872764595,3,1,0,4,0,1,-1.694327568
140,2414.865,6.197882214,3.115986181,0.243937842,2.872048339,3,1,0,4,0,1,-1.734534737
141,2414.898,6.198971225,3.116491908,0.244024504,2.872467403,3,1,0,4,0,1,-1.76459855
142,2415.212,6.199326399,3.116580168,0.243855785,2.872724383,3,1,0,4,0,1,-1.773338052
143,2415.473,6.199934491,3.116853138,0.243725594,2.873127544,3,1,0,4,0,1,-1.779633738
144,2415.573,6.19982853,3.116850176,0.243849378,2.873000798,3,1,0,4,0,1,-1.784842731
145,2415.554,6.199512367,3.116776344,0.244088727,2.872687617,3,1,0,4,0,1,-1.788343572
146,2415.494,6.199205602,3.116688503,0.244247391,2.872441112,3,1,0,4,0,1,-1.789957467
147,2415.494,6.199205602,3.116688503,0.244247391,2.872441112,3,1,0,4,0,1,-1.790004201
